pmid,pmcid,in_pmc,is_open_access,has_pdf,source,journal,year,status,error
10965733,,false,false,false,MED,Minerva Anestesiol,2000,no_pmcid,
11056707,PMC28999,true,true,false,MED,Crit Care,1998,reachable,
12552189,,false,false,false,MED,Anesthesiology,2003,no_pmcid,
14617595,,false,false,false,MED,Can J Anaesth,2003,no_pmcid,
14999213,,false,false,false,MED,Am Heart J,2004,no_pmcid,
15647576,,false,false,false,MED,N Engl J Med,2005,no_pmcid,
15811982,,false,false,false,MED,JAMA,2005,no_pmcid,
16368316,,false,false,false,MED,Am Heart J,2006,no_pmcid,
16882633,,false,false,false,MED,J Sports Sci,2006,no_pmcid,
16961669,,false,false,false,MED,J Intern Med,2006,no_pmcid,
17059294,,false,false,false,MED,J Occup Health Psychol,2006,no_pmcid,
17667023,,false,false,false,MED,J Cardiopulm Rehabil Prev,2007,no_pmcid,
18019884,,false,false,false,MED,Am J Health Promot,2007,no_pmcid,
18227320,,false,false,false,MED,Anesth Analg,2008,no_pmcid,
18233254,,false,false,false,MED,Phys Rev Lett,2007,no_pmcid,
18414368,,false,false,false,MED,Minerva Anestesiol,2008,no_pmcid,
18958642,,false,false,false,MED,J Immunotoxicol,2004,no_pmcid,
19138720,,false,false,false,MED,Food Chem Toxicol,2009,no_pmcid,
20017916,PMC2803475,true,true,true,MED,Lipids Health Dis,2009,reachable,
20068285,,false,false,false,MED,Am J Nephrol,2010,no_pmcid,
20308817,,false,false,false,MED,J Neurosurg Anesthesiol,2010,no_pmcid,
21112938,,false,false,false,MED,J Med Ethics,2010,no_pmcid,
21878823,,false,false,false,MED,J Strength Cond Res,2011,no_pmcid,
21890694,PMC4116414,true,false,false,MED,Am J Physiol Heart Circ Physiol,2011,reachable,
22157610,,false,false,false,MED,Plast Surg Nurs,2011,no_pmcid,
22467963,PMC3174504,true,false,true,MED,Can Vet J,2011,reachable,
22497535,,false,false,false,MED,Inorg Chem,2012,no_pmcid,
22569025,,false,false,false,MED,Eur J Anaesthesiol,2012,no_pmcid,
22923999,PMC3422906,true,true,true,MED,Diabetes Metab Syndr Obes,2012,reachable,
23452521,,false,false,false,MED,Pain Manag Nurs,2013,no_pmcid,
23669821,,false,false,false,MED,J Strength Cond Res,2014,no_pmcid,
23790535,,false,false,false,MED,J Sci Med Sport,2014,no_pmcid,
23842110,PMC3744517,true,true,true,MED,Gut Microbes,2013,reachable,
24149486,PMC3794493,true,false,true,MED,J Sports Sci Med,2007,reachable,
24242033,,false,false,false,MED,Drug Res (Stuttg),2013,no_pmcid,
24275227,,false,false,false,MED,Prev Med,2014,no_pmcid,
24385726,PMC3781632,true,true,true,MED,Turk J Haematol,2012,reachable,
