pmid,overall_rob,excluded_before,publication_types,classification,title
10965733,low,0,Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Propofol 1% and propofol 2% are equally effective and well tolerated during anaesthesia of patients undergoing elective 
11056707,low,0,Journal Article,ambiguous,Acute respiratory distress syndrome: estimated incidence and mortality rate in a 5 million-person population base.
12552189,low,0,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Intracranial pressure and cerebral hemodynamic in patients with cerebral tumors: a randomized prospective study of patie
14617595,low,0,"Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Remifentanil with morphine transitional analgesia shortens neurological recovery compared to fentanyl for supratentorial
14999213,high,0,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Biofeedback treatment increases heart rate variability in patients with known coronary artery disease.
15647576,low,0,"Clinical Trial; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",trial,Mild intraoperative hypothermia during surgery for intracranial aneurysm.
15811982,some_concerns,0,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",trial,Effects of exercise and stress management training on markers of cardiovascular risk in patients with ischemic heart dis
16368316,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Prevention of implantable defibrillator shocks by cognitive behavioral therapy: a pilot trial.
16882633,high,0,Journal Article; Randomized Controlled Trial,trial,The effect of a complex training and detraining programme on selected strength and power variables in early pubertal boy
16961669,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Cognitive-behavioural stress management does not improve biological cardiovascular risk indicators in women with ischaem
17059294,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Worksite intervention effects on sleep quality: a randomized controlled trial.
17667023,some_concerns,0,Journal Article,ambiguous,Quality of life and physical performance in land- and water-based pulmonary rehabilitation.
18019884,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",trial,Exercise and self-esteem in menopausal women: a randomized controlled trial involving walking and yoga.
18227320,low,0,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Does hyperventilation improve operating condition during supratentorial craniotomy? A multicenter randomized crossover t
18233254,low,0,Journal Article,ambiguous,Ultranarrow optical absorption and two-phonon excitation spectroscopy of Cu2O paraexcitons in a high magnetic field.
18414368,low,0,Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Sufentanil-propofol vs remifentanil-propofol during total intravenous anesthesia for neurosurgery. A multicentre study.
18958642,low,0,Journal Article,ambiguous,Particulate matter immunomodulatory effects on autoantibody development in New Zealand mixed mice.
19138720,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,"Cytoprotective and antigenotoxic potential of Mangiferin, a glucosylxanthone against cadmium chloride induced toxicity i"
20017916,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"Thermogenic effect of meltdown RTD energy drink in young healthy women: a double blind, cross-over design study."
20068285,low,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Predictors of carotid artery intima-media thickness in chronic kidney disease and kidney transplant patients without ove
20308817,low,0,Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Emergence times are similar with sevoflurane and total intravenous anesthesia: results of a multicenter RCT of patients 
21112938,low,0,Journal Article,ambiguous,A new law on advance directives in Germany.
21878823,some_concerns,0,Controlled Clinical Trial; Journal Article,trial,Improving the Q:H strength ratio in women using plyometric exercises.
21890694,high,0,Journal Article,ambiguous,High purity human-induced pluripotent stem cell-derived cardiomyocytes: electrophysiological properties of action potent
22157610,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Psychological characteristics and outcomes of elective cosmetic surgery patients: the influence of cosmetic surgery hist
22467963,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Effect of subcutaneous selenium injection and supplementary selenium source on blood selenium and glutathione peroxidase
22497535,high,0,Journal Article,ambiguous,Gaseous vanadium molybdate and tungstates: thermodynamic properties and structures.
22569025,high,0,Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,"A multicentre, randomised, open-label, controlled trial evaluating equivalence of inhalational and intravenous anaesthes"
22923999,low,0,Journal Article,ambiguous,Glucose estimation in the salivary secretion of diabetes mellitus patients.
23452521,some_concerns,0,Comparative Study; Journal Article; Randomized Controlled Trial,trial,Effect of methylprednisolone injection speed on the perception of intramuscular injection pain.
23669821,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,The combination of plyometric and balance training improves sprint and shuttle run performances more often than plyometr
23790535,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Kinematic changes during running-induced fatigue and relations with core endurance in novice runners.
23842110,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Bifidobacterium infantis 35624 modulates host inflammatory processes beyond the gut.
24149486,some_concerns,0,Journal Article,ambiguous,Effects of a short-term plyometric and resistance training program on fitness performance in boys age 12 to 15 years.
24242033,low,0,Journal Article; Review,non_trial,
24275227,some_concerns,0,Journal Article,ambiguous,Diagnosis of diabetes mellitus or cardiovascular disease and lifestyle changes - the Doetinchem cohort study.
24385726,some_concerns,0,Journal Article,ambiguous,The value of serum immunoglobulin free light chain assessment in patients with monoclonal gammopathies and acute renal f
24426230,some_concerns,0,Case Reports; Journal Article,non_trial,Hyperferritinemia in pulmonary tuberculosis.
24427663,low,0,Journal Article,ambiguous,Comparison of efficacy of amphotericin B and itraconazole in chronic invasive fungal sinusitis.
24523774,some_concerns,0,Journal Article,ambiguous,Probiotic yogurt Affects Pro- and Anti-inflammatory Factors in Patients with Inflammatory Bowel Disease.
24596712,some_concerns,0,Journal Article,ambiguous,"Effect of yoga therapy on heart rate, blood pressure and cardiac autonomic function in heart failure."
24673738,some_concerns,0,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Effects of Lactobacillus casei supplementation on disease activity and inflammatory cytokines in rheumatoid arthritis pa
24876639,high,0,Journal Article,ambiguous,Effect of frying conditions on the physico-chemical properties of rice bran oil and its blended oil.
25054579,low,0,Journal Article; Review,non_trial,Emerging biomarkers in anaplastic oligodendroglioma: implications for clinical investigation and patient management.
25104916,high,0,Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,"A prospective, randomized, double-blind, and multicenter trial of prophylactic effects of ramosetronon postoperative nau"
25240309,some_concerns,0,Case Reports; Letter,non_trial,Effect of jumping exercise on muscle strength and balance of elderly people: A randomized controlled trial
25307901,low,0,Comparative Study; Journal Article,ambiguous,Salivary alterations in type 1 diabetes mellitus patients: Salivary glucose could be noninvasive tool for monitoring dia
25357040,high,0,Journal Article,ambiguous,Why some patients are unhappy: part 2. Relationship of nasal shape and trauma history to surgical success.
25447801,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Lameness and hock injuries improve on farms participating in an assessment program.
25457927,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",trial,A behavioral intervention for war-affected youth in Sierra Leone: a randomized controlled trial.
25484415,high,0,Journal Article,ambiguous,Efficacy of intralesional amphotericin B for the treatment of cutaneous leishmaniasis.
25489490,high,0,Journal Article; Review,non_trial,Regulation and Role of TGFβ Signaling Pathway in Aging and Osteoarthritis Joints.
25530352,high,0,Journal Article,ambiguous,Evaluation of the understanding of antibiotic resistance among Malaysian pharmacy students at public universities: an ex
25537814,high,0,Journal Article,ambiguous,Lessons from writing sessions: a school-based randomized trial with adolescent orphans in Rwanda.
25790543,low,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Salivary glucose and antioxidant defense markers in type II diabetes mellitus.
25978746,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Randomized controlled trial of heart rate variability biofeedback in cardiac autonomic and hostility among patients with
