methodology,rating_source,source_reference,study_label,pmid,doi,methodology_version,domain,expert_rating,overall_rating,verified,added_by,added_at
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,16882633,16882633,,rob2-2019,deviations_from_interventions,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,16882633,16882633,,rob2-2019,missing_outcome_data,high,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,16882633,16882633,,rob2-2019,outcome_measurement,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,16882633,16882633,,rob2-2019,randomization,some_concerns,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,16882633,16882633,,rob2-2019,selection_of_reported_result,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,21878823,21878823,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,21878823,21878823,,rob2-2019,missing_outcome_data,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,21878823,21878823,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,21878823,21878823,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,21878823,21878823,,rob2-2019,selection_of_reported_result,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,23669821,23669821,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,23669821,23669821,,rob2-2019,missing_outcome_data,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,23669821,23669821,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,23669821,23669821,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,23669821,23669821,,rob2-2019,selection_of_reported_result,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,24149486,24149486,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,24149486,24149486,,rob2-2019,missing_outcome_data,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,24149486,24149486,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,24149486,24149486,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,24149486,24149486,,rob2-2019,selection_of_reported_result,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,25978688,25978688,,rob2-2019,deviations_from_interventions,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,25978688,25978688,,rob2-2019,missing_outcome_data,high,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,25978688,25978688,,rob2-2019,outcome_measurement,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,25978688,25978688,,rob2-2019,randomization,some_concerns,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,25978688,25978688,,rob2-2019,selection_of_reported_result,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,26701117,26701117,,rob2-2019,deviations_from_interventions,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,26701117,26701117,,rob2-2019,missing_outcome_data,high,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,26701117,26701117,,rob2-2019,outcome_measurement,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,26701117,26701117,,rob2-2019,randomization,some_concerns,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,26701117,26701117,,rob2-2019,selection_of_reported_result,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27787471,27787471,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27787471,27787471,,rob2-2019,missing_outcome_data,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27787471,27787471,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27787471,27787471,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27787471,27787471,,rob2-2019,selection_of_reported_result,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27998241,27998241,,rob2-2019,deviations_from_interventions,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27998241,27998241,,rob2-2019,missing_outcome_data,high,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27998241,27998241,,rob2-2019,outcome_measurement,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27998241,27998241,,rob2-2019,randomization,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,27998241,27998241,,rob2-2019,selection_of_reported_result,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,32841300,32841300,,rob2-2019,deviations_from_interventions,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,32841300,32841300,,rob2-2019,missing_outcome_data,high,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,32841300,32841300,,rob2-2019,outcome_measurement,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,32841300,32841300,,rob2-2019,randomization,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,32841300,32841300,,rob2-2019,selection_of_reported_result,low,high,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,34059568,34059568,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,34059568,34059568,,rob2-2019,missing_outcome_data,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,34059568,34059568,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,34059568,34059568,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,34059568,34059568,,rob2-2019,selection_of_reported_result,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,35719236,35719236,,rob2-2019,deviations_from_interventions,low,low,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,35719236,35719236,,rob2-2019,missing_outcome_data,low,low,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,35719236,35719236,,rob2-2019,outcome_measurement,low,low,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,35719236,35719236,,rob2-2019,randomization,low,low,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,35719236,35719236,,rob2-2019,selection_of_reported_result,low,low,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,36101416,36101416,,rob2-2019,deviations_from_interventions,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,36101416,36101416,,rob2-2019,missing_outcome_data,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,36101416,36101416,,rob2-2019,outcome_measurement,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,36101416,36101416,,rob2-2019,randomization,some_concerns,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
cochrane_rob2,cochrane_review_pmid:38760392,Deng 2024 plyometric meta-analysis,36101416,36101416,,rob2-2019,selection_of_reported_result,low,some_concerns,0,rob2-backfill-2026-04-22,2026-04-21 14:00:40
quadas_2,jcm-15-01829,Salivary Glucose Testing for Diabetes Mellitus: A Systematic Review and Meta-Analysis of Current Evidence and Methodological Heterogeneity,Choudhry (2022),35405049,10.2478/rjim-2022-0005,quadas2-2011,flow_and_timing,low,low,0,quadas2-extract-2026-04-21,2026-04-21 06:57:26
