rct_id,rct_author,rct_regnr,cr_id,extracted_pmid,extracted_doi,extracted_nct,match_type,match_confidence,matched_pmid,matched_doi,matched_source,matched_title,notes
RCT001,"Diakomi, 2014",NCT02037633,CD001159.PUB3,,,NCT02037633,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02037633, cr=CD001159.PUB3, author=Diakomi, year=2014"
RCT002,"Ranjit, 2016",,CD001159.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD001159.PUB3, author=Ranjit, year=2016"
RCT003,"Malhotra, 2013",NCT01175590,CD001211.PUB4,,,NCT01175590,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01175590, cr=CD001211.PUB4, author=Malhotra, year=2013"
RCT004,"Ye, 2019",ChiCTR-TRC-13003575,CD001423.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD001423.PUB4, author=-, year=2019"
RCT005,"Hatirnaz, 2017",,CD002118.PUB6,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD002118.PUB6, author=Hatirnaz, year=2017"
RCT006,"Levi-Setti, 2018",NCT02639000,CD002118.PUB6,,,NCT02639000,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02639000, cr=CD002118.PUB6, author=Levi-Setti, year=2018"
RCT007,"Hernández, 2015",,CD002990.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD002990.PUB4, author=Hernández, year=2015"
RCT008,"Jolly, 2018",ISRCTN 06710391,CD002990.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD002990.PUB4, author=Jolly, year=2018"
RCT009,"Dankiewicz, 2021",NCT02908308,CD004128.PUB5,,,NCT02908308,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02908308, cr=CD004128.PUB5, author=Dankiewicz, year=2021"
RCT010,"Lascarrou, 2019",NCT01994772,CD004128.PUB5,,,NCT01994772,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01994772, cr=CD004128.PUB5, author=Lascarrou, year=2019"
RCT011,"Rönning, 2014",NCT01234753,CD004372.PUB3,,,NCT01234753,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01234753, cr=CD004372.PUB3, author=Rönning, year=2014"
RCT012,"Kovacs, 2018",NCT01881893,CD004372.PUB3,,,NCT01881893,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01881893, cr=CD004372.PUB3, author=Kovacs, year=2018"
RCT013,"Ekerstad, 2017",113021,CD005955.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD005955.PUB3, author=Ekerstad, year=2017"
RCT014,"Jackson, 2018",NCT02066129,CD007524.PUB5,,,NCT02066129,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02066129, cr=CD007524.PUB5, author=Jackson, year=2018"
RCT015,"Falcone, 2014",,CD007736.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD007736.PUB3, author=Falcone, year=2014"
RCT016,"Ferrari, 2020",NCT03347409,CD008239.PUB5,,,NCT03347409,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT03347409, cr=CD008239.PUB5, author=Ferrari, year=2020"
RCT017,"Ho, 2020",NCT03667755,CD008239.PUB5,,,NCT03667755,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT03667755, cr=CD008239.PUB5, author=-, year=2020"
RCT018,"J-START, 2016",UMIN000000757,CD009632.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD009632.PUB3, author=J-START, year=2016"
