label,k_lin,k_quad,ci_lin_lo,ci_lin_hi,ci_quad_lo,ci_quad_hi,n,kind
"gpt-oss 20B (abstract, pass 1)",0.03727959697733005,-0.011428571428571389,-0.06211180124223613,0.14420062695924735,-0.1648745519713268,0.16659398168338402,78,single_pass
"gpt-oss 20B (abstract, pass 2)",0.00481463649494444,0.041884816753926565,-0.0969932104752668,0.10958904109589031,-0.1106243154435925,0.1849948612538541,78,single_pass
"gpt-oss 20B (abstract, pass 3)",0.045871559633027414,-0.05263157894736823,-0.04697986577181226,0.15939849624060162,-0.21931034482758624,0.12698412698412656,78,single_pass
"gpt-oss 20B (fulltext, pass 1)",0.26042983565107475,0.3209876543209874,0.12162162162162173,0.4022988505747128,0.14581458145814596,0.49011857707509887,78,single_pass
"gpt-oss 20B (fulltext, pass 2)",0.1845018450184503,0.23529411764705876,0.050950570342205244,0.3217391304347825,0.0705882352941178,0.39467849223946794,78,single_pass
"gpt-oss 20B (fulltext, pass 3)",0.15353697749196146,0.17870722433460093,0.03074978938500432,0.28870106761565856,0.01958189997353801,0.34568332750786446,78,single_pass
"Gemma 4 26B-A4B (abstract, pass 1)",0.11040145985401474,0.14691943127962084,-0.013210039630118959,0.23629242819843357,-0.03018867924528291,0.29841269841269835,78,single_pass
"Gemma 4 26B-A4B (abstract, pass 2)",0.08860759493670857,0.13368983957219208,-0.023909985935302032,0.2077562326869807,-0.03732303732303738,0.2918807810894143,78,single_pass
"Gemma 4 26B-A4B (abstract, pass 3)",0.08860759493670857,0.10160427807486597,-0.029217719132893217,0.20723847297967293,-0.07339449541284382,0.27155172413793105,78,single_pass
"Gemma 4 26B-A4B (fulltext, pass 1)",0.16028708133971292,0.16853932584269643,0.04033884630899532,0.29489754921655287,0.0,0.3465715172199811,78,single_pass
"Gemma 4 26B-A4B (fulltext, pass 2)",0.20375663536137215,0.22957198443579763,0.05884843353090598,0.34636871508379885,0.043907793633370135,0.4034632034632037,78,single_pass
"Gemma 4 26B-A4B (fulltext, pass 3)",0.19959758551307852,0.2585551330798478,0.07285276073619626,0.339782345828295,0.11449886474213426,0.42961608775137106,78,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 1)",0.07142857142857148,0.10769230769230735,-0.036090225563909964,0.197943444730077,-0.033918128654970806,0.268148148148148,78,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 2)",0.06772908366533845,0.12849162011173199,-0.03755868544600923,0.1833616298811543,-0.017989417989417958,0.2724594992636229,78,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 3)",0.07048681541582145,0.1849710982658959,-0.047897196261682234,0.19566367001586465,0.05797101449275389,0.31638913234005284,78,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 1)",0.21265141318977135,0.21917808219178095,0.06045454545454541,0.36355394378966466,0.031372549019607565,0.41493775933609944,78,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 2)",0.22857142857142865,0.27312775330396466,0.08198051948051945,0.3679694947569114,0.0813165537270091,0.46533490011750855,78,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 3)",0.17267713194739082,0.20331950207468852,0.0341047503045066,0.32089552238805963,0.013239187996469321,0.39506172839506165,78,single_pass
"Claude Sonnet 4.6 (abstract, pass 1)",0.12406417112299435,0.18709677419354842,0.019298245614034988,0.2428977272727274,0.05075090626618279,0.3225806451612899,78,single_pass
"Claude Sonnet 4.6 (abstract, pass 2)",0.08235294117647042,0.07096774193548364,-0.010944700460829486,0.1901639344262294,-0.08424599831508008,0.2175657601426661,78,single_pass
"Claude Sonnet 4.6 (abstract, pass 3)",0.1553090332805072,0.18867924528301944,0.034542314335060616,0.2834645669291339,0.012948793407887193,0.34205933682373485,78,single_pass
"Claude Sonnet 4.6 (fulltext, pass 1)",0.13984962406015025,0.18644067796610161,0.015151515151515416,0.26200873362445415,0.022284122562673953,0.3392630241423127,78,single_pass
"Claude Sonnet 4.6 (fulltext, pass 2)",0.21022179363548685,0.308900523560209,0.06865671641791046,0.3389830508474576,0.14586070959264152,0.44227415416812005,78,single_pass
"Claude Sonnet 4.6 (fulltext, pass 3)",0.190566037735849,0.24623115577889462,0.05443732845379691,0.32956777996070735,0.058797718297498525,0.40516229956980826,78,single_pass
