label,k_lin,k_quad,ci_lin_lo,ci_lin_hi,n,kind
"gpt-oss 20B (abstract, pass 1)",0.04960835509138382,0.009891196834817307,-0.05305323126223971,0.14213197969543154,91,single_pass
"gpt-oss 20B (abstract, pass 2)",-0.0076238881829735474,0.019672131147541003,-0.10099947396107292,0.08336227856894751,91,single_pass
"gpt-oss 20B (abstract, pass 3)",0.02371541501976287,-0.054762304720309095,-0.06349206349206359,0.12499999999999988,91,single_pass
"gpt-oss 20B (fulltext, pass 1)",0.22840504691038505,0.2572062084257205,0.11103542234332422,0.369579719813209,90,single_pass
"gpt-oss 20B (fulltext, pass 2)",0.14821944177093377,0.18181818181818174,0.026645768025078433,0.2883211678832117,90,single_pass
"gpt-oss 20B (fulltext, pass 3)",0.16797242243810737,0.19174247725682297,0.043464467005076154,0.2959770114942529,90,single_pass
"Gemma 4 26B-A4B (abstract, pass 1)",0.11294117647058824,0.1172190784155215,-0.005995877833988853,0.22881355932203398,91,single_pass
"Gemma 4 26B-A4B (abstract, pass 2)",0.08312342569269508,0.1064743786437554,-0.03066736365220407,0.1888302710569401,91,single_pass
"Gemma 4 26B-A4B (abstract, pass 3)",0.0584498094027953,0.04808743169398899,-0.05166553365057794,0.17685589519650668,91,single_pass
"Gemma 4 26B-A4B (fulltext, pass 1)",0.1903914590747331,0.21551724137931025,0.06605263157894727,0.3257039354520006,91,single_pass
"Gemma 4 26B-A4B (fulltext, pass 2)",0.19541435636145665,0.21199166940699338,0.05494938872091499,0.3344328122759213,91,single_pass
"Gemma 4 26B-A4B (fulltext, pass 3)",0.20962755778006772,0.25401895028212473,0.09716953603735043,0.3367749772244156,91,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 1)",0.050377833753148596,0.07855170297637287,-0.051347881899871606,0.17201716738197437,91,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 2)",0.04139715394566602,0.07217996439553268,-0.05405405405405425,0.14021164021164004,91,single_pass
"Qwen 3.6 35B-A3B (abstract, pass 3)",0.06289076866495022,0.15524967989756705,-0.0467659815198943,0.17185859292964661,91,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 1)",0.2345373577436913,0.23410591738961545,0.08953705273868089,0.3799480856586633,91,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 2)",0.20162224797219006,0.2534184138559705,0.06156249999999994,0.359856182585587,91,single_pass
"Qwen 3.6 35B-A3B (fulltext, pass 3)",0.1822849807445441,0.21416234887737465,0.03787281047814421,0.32289323412355064,91,single_pass
"Claude Sonnet 4.6 (abstract, pass 1)",0.06854093987276833,0.12593876372039328,-0.013008130081300612,0.17146568521324962,89,single_pass
"Claude Sonnet 4.6 (abstract, pass 2)",0.05641128225645145,0.05758870518298313,-0.01996303142329006,0.14628297362110335,89,single_pass
"Claude Sonnet 4.6 (abstract, pass 3)",0.11868390129259704,0.1573640619373423,0.017305315203955493,0.22413793103448265,90,single_pass
"Claude Sonnet 4.6 (fulltext, pass 1)",0.059945504087193444,0.07862407862407876,-0.05459057071960281,0.167927382753404,75,single_pass
"Claude Sonnet 4.6 (fulltext, pass 2)",0.1657303370786517,0.23647540983606596,0.041935483870967856,0.28523730026234195,81,single_pass
"Claude Sonnet 4.6 (fulltext, pass 3)",0.15977310328527528,0.20300597076384583,0.045376078914919696,0.2890203137053229,79,single_pass
"gpt-oss 20B (abstract, ensemble)",0.01355013550135483,-0.03740648379052417,-0.05121293800539121,0.10835734870316979,91,ensemble
"gpt-oss 20B (fulltext, ensemble)",0.170171465545131,0.19068736141906886,0.04609690444145358,0.2950391644908615,90,ensemble
"Gemma 4 26B-A4B (abstract, ensemble)",0.1158690176322419,0.1064743786437554,0.004662004662004692,0.23098591549295774,91,ensemble
"Gemma 4 26B-A4B (fulltext, ensemble)",0.19805825242718464,0.23562779535289613,0.06905370843989768,0.3330146590184831,91,ensemble
"Qwen 3.6 35B-A3B (abstract, ensemble)",0.05797101449275352,0.09810179741306911,-0.034650785056848994,0.16246498599439776,91,ensemble
"Qwen 3.6 35B-A3B (fulltext, ensemble)",0.21192052980132461,0.2411483253588519,0.06772009029345386,0.3788968824940046,91,ensemble
"Claude Sonnet 4.6 (abstract, ensemble)",0.0930232558139533,0.12325031812397717,-4.592286147313149e-16,0.1909547738693469,91,ensemble
"Claude Sonnet 4.6 (fulltext, ensemble)",0.15077767612076856,0.20769352540762992,0.03150276713495095,0.2852155699074883,91,ensemble
"EM Claude 2 (published, single pass)",,0.22,,,,reference
"Minozzi 2020 — trained humans, no ID",,0.16,,,,reference_human
"Minozzi 2021 — trained humans, with ID",,0.42,,,,reference_human
