source,model,protocol,pass,kind,domain,n,raw_agr,k_unw,k_lin,k_quad,ci_lin_lo,ci_lin_hi,ci_quad_lo,ci_quad_hi
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d1,78,0.2564102564102564,-0.013440860215053833,-0.00132802124834013,0.022049286640726296,-0.005427408412483067,3.092764140027221e-16,-6.185528280054446e-16,0.06804374240583265
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d2,78,0.38461538461538464,0.08705193855157282,0.07640750670241281,0.05970149253731374,-0.01997146932952902,0.17555147058823536,-0.04889975550122275,0.18110236220472442
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d3,78,0.4230769230769231,0.09698996655518395,0.12946428571428586,0.1878759833410456,0.059850374064837925,0.21150855365474341,0.090104585679807,0.29950606196677143
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d4,78,0.2948717948717949,0.034653465346534656,0.06478754732856527,0.11462597692593994,-0.04320987654320967,0.1594202898550724,-0.01655512504402971,0.24730127576054953
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d5,78,0.3076923076923077,0.003076923076923066,-0.0004664179104477111,-0.007249660172179877,-0.06267029972752046,0.05139972464433202,-0.0773480662983423,0.05385735080058235
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,overall,78,0.4358974358974359,0.06739130434782609,0.03727959697733005,-0.011428571428571389,-0.06211180124223613,0.14420062695924735,-0.1648745519713268,0.16659398168338402
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d1,78,0.2692307692307692,0.004032258064516074,-0.00132802124834013,-0.011673151750972676,-0.005154639175257759,3.092764140027221e-16,-0.034659820282413094,0.0
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d2,78,0.3333333333333333,0.051228070175438546,0.06360572872788542,0.08219178082191797,-0.0170228178196307,0.14189492590929495,-0.014022787028922071,0.18837459634015039
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d3,78,0.3333333333333333,0.06586826347305388,0.08894878706199447,0.13184931506849343,0.040050062578222974,0.15853658536585374,0.057401812688821975,0.2247191011235953
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d4,78,0.32051282051282054,0.054869684499314175,0.10381616741895794,0.1767109295199182,0.01984126984126979,0.1992136304062908,0.0620067643742953,0.30604982206405695
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d5,78,0.32051282051282054,0.02361832782239027,0.025459688826025274,0.029121653358384885,0.0,0.06876790830945562,0.0,0.07646768623581628
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,overall,78,0.3717948717948718,-0.019743863393809985,0.00481463649494444,0.041884816753926565,-0.0969932104752668,0.10958904109589031,-0.1106243154435925,0.1849948612538541
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16,-6.414621920056462e-16,6.661338147750936e-16
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d2,78,0.3333333333333333,0.0068560235063663145,0.008174386920980969,0.010309278350515426,-0.11226799456767786,0.10596026490066224,-0.11193241816261866,0.13016453382084126
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d3,78,0.32051282051282054,0.06173399909214711,0.08034934497816587,0.11363636363636348,0.033057851239669395,0.14228007181328534,0.04600219058050382,0.20216606498194944
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d4,78,0.358974358974359,0.1224122412241224,0.13041649137568356,0.14365463342017132,0.05369928400954641,0.24154025670945162,0.03493449781659406,0.2769580022701475
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d5,78,0.358974358974359,0.06024096385542173,0.06474820143884909,0.07363420427553426,0.017158176943699695,0.13075780089153047,0.018211033743974498,0.1479289940828403
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,overall,78,0.46153846153846156,0.10565110565110565,0.045871559633027414,-0.05263157894736823,-0.04697986577181226,0.15939849624060162,-0.21931034482758624,0.12698412698412656
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d1,78,0.3717948717948718,0.10155148095909736,0.11481975967957303,0.13751507840772,0.03621644652748202,0.2175102599179207,0.022446689113355397,0.2760290556900724
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d2,78,0.38461538461538464,0.09390125847047438,0.15012106537530262,0.22047244094488158,0.0337837837837837,0.25515660809778473,0.07605985037406467,0.36163682864450114
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d3,78,0.5641025641025641,0.1634069400630915,0.19954389965792488,0.25430210325047786,0.05088495575221252,0.36695652173913024,0.030794165316044998,0.4640753828032979
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d4,78,0.5128205128205128,0.18883415435139567,0.2677693339293696,0.3621197252208047,0.11290322580645176,0.39814814814814814,0.16028708133971306,0.5202952029520296
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d5,78,0.3974358974358974,0.09637663298003446,0.11534749034749003,0.150995831403427,0.04233700254022017,0.20163766632548627,0.06519654841802504,0.2363150867823763
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,overall,78,0.48717948717948717,0.2121212121212121,0.26042983565107475,0.3209876543209874,0.12162162162162173,0.4022988505747128,0.14581458145814596,0.49011857707509887
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d1,78,0.3974358974358974,0.1277658815132048,0.12978142076502724,0.13333333333333322,0.04071246819338415,0.23489932885906029,0.020584602717167572,0.2777777777777779
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d2,78,0.3974358974358974,0.12735063080218995,0.13367108339828512,0.141263940520446,0.04173166926677067,0.2441860465116281,0.0346070656092284,0.26966292134831443
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d3,78,0.5769230769230769,0.1707474226804123,0.20136518771331083,0.24516129032258102,0.021810250817884638,0.39390316796174546,-0.009995456610631686,0.5037297060114084
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d4,78,0.4358974358974359,0.12471308339709253,0.19733656174334147,0.2783945345858238,0.0877192982456142,0.30834340991535675,0.13289036544850488,0.42521166509877706
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d5,78,0.44871794871794873,0.14980988593155892,0.1714426877470355,0.2115655853314529,0.04738641914997575,0.2938718662952647,0.06840390879478823,0.3525557011795543
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,overall,78,0.4358974358974359,0.14242878560719643,0.1845018450184503,0.23529411764705876,0.050950570342205244,0.3217391304347825,0.0705882352941178,0.39467849223946794
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d1,78,0.38461538461538464,0.14403292181069963,0.149685534591195,0.15857605177993525,0.0442687747035571,0.2872539831302717,0.008032128514056264,0.3373493975903614
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d2,78,0.38461538461538464,0.0823529411764706,0.0997526793075022,0.12195121951219513,-0.017552182163187893,0.21356553620531618,-0.0018132366273800867,0.2695652173913043
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d3,78,0.5384615384615384,0.18038528896672504,0.2238805970149255,0.28110599078341003,0.09589041095890412,0.3859827323514475,0.10550458715596334,0.48261025457153095
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d4,78,0.5,0.20010518012095713,0.23136246786632395,0.26852141294154414,0.08542713567839211,0.3743315508021391,0.0909438288116164,0.44332493702770787
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d5,78,0.4358974358974359,0.14028056112224446,0.15258329309512333,0.17469608284556512,0.04454342984409802,0.2721617418351479,0.04294478527607348,0.32727272727272727
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,overall,78,0.4230769230769231,0.1322620519159456,0.15353697749196146,0.17870722433460093,0.03074978938500432,0.28870106761565856,0.01958189997353801,0.34568332750786446
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16,-6.414621920056462e-16,6.661338147750936e-16
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d2,78,0.41025641025641024,0.11385527290689054,0.09011893870082362,0.05181347150259102,-0.015068493150685165,0.1901245962159669,-0.057803468208092276,0.17314487632508824
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d3,78,0.41025641025641024,0.09118541033434646,0.10632447296058666,0.12933025404157011,0.01336515513126509,0.2269417475728155,-0.019002375296912212,0.31009365244536974
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d4,78,0.38461538461538464,0.11237553342816502,0.15387705905986343,0.20775623268698035,0.04808743169398883,0.2759900990099011,0.060384263494968074,0.35145506875599636
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d5,78,0.5641025641025641,0.22501461133839862,0.20812182741116764,0.17764891934633645,0.044117647058823574,0.3685092127303182,-0.0382695507487517,0.37523105360443587
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,overall,78,0.4230769230769231,0.08426819723454207,0.11040145985401474,0.14691943127962084,-0.013210039630118959,0.23629242819843357,-0.03018867924528291,0.29841269841269835
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16,-6.414621920056462e-16,6.661338147750936e-16
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d2,78,0.41025641025641024,0.10635118306351184,0.09602649006622509,0.07821229050279302,-0.009587727708533018,0.19648241206030176,-0.032739528165623887,0.18823529411764697
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d3,78,0.41025641025641024,0.09164556962025315,0.11447492904446532,0.1521739130434783,0.017441860465116043,0.2382812500000001,-0.012718600953895138,0.3353151010701549
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d4,78,0.38461538461538464,0.08860759493670887,0.1475409836065574,0.22746781115879836,0.0491873396065012,0.25477707006369427,0.10037406483790498,0.369581190301249
