model,protocol,domain,n_disagree,n_total,disagreement_rate,mean_kappa_quad,is_dominant
gpt_oss_20b,fulltext,d1,23,234,0.0983,0.3965,0
gpt_oss_20b,fulltext,d2,37,234,0.1581,0.7617,0
gpt_oss_20b,fulltext,d3,60,234,0.2564,0.5530,1
gpt_oss_20b,fulltext,d4,48,234,0.2051,0.7139,0
gpt_oss_20b,fulltext,d5,26,234,0.1111,0.6167,0
gemma4_26b,fulltext,d1,4,234,0.0171,0.9344,0
gemma4_26b,fulltext,d2,28,234,0.1197,0.7923,0
gemma4_26b,fulltext,d3,40,234,0.1709,0.7642,1
gemma4_26b,fulltext,d4,18,234,0.0769,0.8549,0
gemma4_26b,fulltext,d5,22,234,0.0940,0.8553,0
qwen3_6_35b,fulltext,d1,20,234,0.0855,0.6745,0
qwen3_6_35b,fulltext,d2,30,234,0.1282,0.8199,0
qwen3_6_35b,fulltext,d3,42,234,0.1795,0.6950,0
qwen3_6_35b,fulltext,d4,54,234,0.2308,0.7040,0
qwen3_6_35b,fulltext,d5,56,234,0.2393,0.5175,1
sonnet_4_6,fulltext,d1,6,234,0.0256,0.9205,0
sonnet_4_6,fulltext,d2,4,234,0.0171,0.9678,0
sonnet_4_6,fulltext,d3,18,234,0.0769,0.9068,0
sonnet_4_6,fulltext,d4,32,234,0.1368,0.7895,1
sonnet_4_6,fulltext,d5,12,234,0.0513,0.7312,0
